,angles
427,-0.14141081162844185
428,-0.14094481219548657
429,-0.14052898749439724
430,-0.14011915682013756
431,-0.13971412770380906
432,-0.1396428623118728
433,-0.1395803759979066
434,-0.13948819373430518
435,-0.13911110163672305
436,-0.13841979206451954
437,-0.13744414002462488
438,-0.1365597812899732
439,-0.135726367107223
440,-0.1349386748711978
441,-0.13419211003548331
442,-0.13348573529749894
443,-0.13314485178020402
444,-0.13284131400847557
445,-0.13253093075511566
446,-0.13221631030819753
447,-0.1322272099308545
448,-0.13223928009739885
449,-0.13221409882847698
450,-0.13215516327986923
451,-0.13206800507756894
452,-0.1319538133196785
453,-0.132146267013498
454,-0.1326035838574897
455,-0.13329707067466354
456,-0.13420224918058432
457,-0.13502066492853387
458,-0.1357203050835534
459,-0.13631233045908248
460,-0.13680742504703194
461,-0.1372153236494111
462,-0.13754487550487937
463,-0.13780411794392008
464,-0.13799894196934465
465,-0.13813595333528783
466,-0.13822103165536165
467,-0.1382593747045014
468,-0.1382557528673482
469,-0.13821609116722988
470,-0.1381428670626567
471,-0.13803889290169052
472,-0.13790695609755965
473,-0.13775002129770206
474,-0.1375708967557271
475,-0.1373720234731483
476,-0.13715551341470905
477,-0.13692322860565925
478,-0.13667588970429131
479,-0.13615862615138077
480,-0.13510286289956971
481,-0.13348494227385643
482,-0.13136117090871444
483,-0.1291487978108869
484,-0.127153704274429
485,-0.12532345552033167
486,-0.12396827577459198
487,-0.1230319700143401
488,-0.1224715414495764
489,-0.12224833618266859
490,-0.1226407523512555
491,-0.12328892817137058
492,-0.1241518843475349
493,-0.12492985471815173
494,-0.12533768813070925
495,-0.12535153150788492
496,-0.12500829237906527
497,-0.12434470419473997
498,-0.1237451867555459
499,-0.12317048561229224
500,-0.12294508264947457
