,Unnamed: 0,distance_x,distance_y,angles,follower_vx,follower_vy,follower_omega,leader_vx,leader_vy,leader_omega,leader_x,leader_y,follower_x,follower_y
85,85,1.783131684313537,-0.8352520986700145,-0.28959401926670303,0.2672415559352072,-0.2740642842592131,-0.06224937180159862,0.199999988079071,-2.3628885514881404e-08,-2.2526214138451905e-07,-40.97427368164063,45.0,-42.88363265991211,45.23714828491211
86,86,1.7817261267754327,-0.8251783005271036,-0.2878012253159925,0.2804883645350306,-0.2716774359591005,-0.05602510713383546,0.199999988079071,-1.9178989063561858e-08,-2.2989341630363927e-07,-40.96787643432617,45.0,-42.86916732788086,45.23286819458008
87,87,1.7796391411768995,-0.8154833094960761,-0.2861877167208175,0.29740690228711686,-0.269518636040139,-0.05042240829129096,0.199999988079071,-1.4416247751114495e-08,-2.3077352295786119e-07,-40.96147537231445,45.0,-42.85316467285156,45.22901916503906
88,88,1.7768268374336602,-0.8063942471164147,-0.2848866806015235,0.31265544626746583,-0.2676514706363509,-0.040657581560543866,0.199999988079071,-9.418221758039635e-09,-2.2788806575135825e-07,-40.955074310302734,45.0,-42.83713150024414,45.22517776489258
89,89,1.7735149074554004,-0.7978619169310641,-0.28387313117845614,0.32143737733632927,-0.26594257247599035,-0.03167365901714417,0.199999988079071,-4.266512476647222e-09,-2.2128409682409258e-07,-40.94867706298828,45.0,-42.82261276245117,45.22094345092773
90,90,1.769914127197226,-0.789831229846112,-0.28311856118080403,0.3243238108778352,-0.26439210378067557,-0.02358051237206924,0.199999988079071,9.547782564567342e-10,-2.110694623524978e-07,-40.94227600097656,45.0,-42.80963516235352,45.21630096435547
91,91,1.7659055383262279,-0.7822519917491961,-0.2825973706892495,0.331595451601537,-0.26301371100190457,-0.016287402183484456,0.199999988079071,6.160495669149668e-09,-1.9741072776469082e-07,-40.93587493896485,45.0,-42.795223236083984,45.21207427978516
92,92,1.7616359822086014,-0.7748080950263639,-0.28212891615492386,0.3383358815027999,-0.26168656834342935,-0.01463934634366964,0.199999988079071,1.1265681720828981e-08,-1.805308045277343e-07,-40.929473876953125,45.0,-42.78075408935547,45.20789337158203
93,93,1.7572347550509737,-0.7672263796284944,-0.2815567427610959,0.34452249396268075,-0.2604185714278715,-0.017880576290839917,0.199999988079071,1.618702860639587e-08,-1.607050847951541e-07,-40.92307662963867,45.0,-42.766258239746094,45.20371627807617
94,94,1.7525615062342612,-0.7595076812942461,-0.280884084737504,0.355033038155051,-0.2592955715019194,-0.021020705197591184,0.199999988079071,2.0844261428010213e-08,-1.3825717815052485e-07,-40.91667556762695,45.0,-42.75025177001953,45.1999397277832
95,95,1.747481504025447,-0.751664989021984,-0.28012069550413293,0.3695210469625699,-0.2582963931463976,-0.023856124008600644,0.199999988079071,2.516140362729402e-08,-1.1355325568729313e-07,-40.910274505615234,45.0,-42.732696533203125,45.196571350097656
96,96,1.7421832790455707,-0.743711632037968,-0.2792755170517421,0.3778574275549329,-0.2573739404591458,-0.02641204623124426,0.199999988079071,2.90679427195073e-08,-8.699649356458394e-08,-40.90387344360352,45.0,-42.71658706665039,45.192779541015625
97,97,1.7368473568989176,-0.735657597969303,-0.2783564660417965,0.3803731597282955,-0.25656979666166335,-0.028720482090783934,0.199999988079071,3.250018565381652e-08,-5.902013455738597e-08,-40.89747619628906,45.0,-42.70201873779297,45.18852996826172
